DATE,VALUE
2007-01-01,2.07564
2007-02-01,2.41520
2007-03-01,2.77878
2007-04-01,2.57370
2007-05-01,2.69086
2007-06-01,2.68704
2007-07-01,2.35823
2007-08-01,1.97008
2007-09-01,2.75505
2007-10-01,3.53617
2007-11-01,4.30620
2007-12-01,4.08127
2008-01-01,4.28029
2008-02-01,4.02656
2008-03-01,3.98146
2008-04-01,3.93689
2008-05-01,4.17554
2008-06-01,5.02179
2008-07-01,5.60012
2008-08-01,5.37186
2008-09-01,4.93693
2008-10-01,3.65519
2008-11-01,1.06957
2008-12-01,0.09141
2009-01-01,0.02985
2009-02-01,0.23619
2009-03-01,-0.38356
2009-04-01,-0.73689
2009-05-01,-1.28144
2009-06-01,-1.42678
2009-07-01,-2.09716
2009-08-01,-1.48435
2009-09-01,-1.28621
2009-10-01,-0.18285
2009-11-01,1.83830
2009-12-01,2.72133
2010-01-01,2.62571
2010-02-01,2.14333
2010-03-01,2.31396
2010-04-01,2.23645
2010-05-01,2.02099
2010-06-01,1.05335
2010-07-01,1.23519
2010-08-01,1.14810
2010-09-01,1.14368
2010-10-01,1.17219
2010-11-01,1.14316
2010-12-01,1.49572
2011-01-01,1.63185
2011-02-01,2.10758
2011-03-01,2.68160
2011-04-01,3.16363
2011-05-01,3.56865
2011-06-01,3.55883
2011-07-01,3.62872
2011-08-01,3.77121
2011-09-01,3.86836
2011-10-01,3.52520
2011-11-01,3.39438
2011-12-01,2.96242
2012-01-01,2.92522
2012-02-01,2.87110
2012-03-01,2.65140
2012-04-01,2.30274
2012-05-01,1.70425
2012-06-01,1.66399
2012-07-01,1.40845
2012-08-01,1.69238
2012-09-01,1.99128
2012-10-01,2.16234
2012-11-01,1.76413
2012-12-01,1.74102
2013-01-01,1.59486
2013-02-01,1.97792
2013-03-01,1.47390
2013-04-01,1.06309
2013-05-01,1.36197
2013-06-01,1.75442
2013-07-01,1.96068
2013-08-01,1.51837
2013-09-01,1.18493
2013-10-01,0.96361
2013-11-01,1.23707
2013-12-01,1.50174
2014-01-01,1.57895
2014-02-01,1.12635
2014-03-01,1.51220
2014-04-01,1.95286
2014-05-01,2.12711
2014-06-01,2.07234
2014-07-01,1.99233
2014-08-01,1.69961
2014-09-01,1.65792
2014-10-01,1.66434
2014-11-01,1.32236
2014-12-01,0.75649
2015-01-01,-0.08935
2015-02-01,-0.02513
2015-03-01,-0.07364
2015-04-01,-0.19952
2015-05-01,-0.03993
2015-06-01,0.12377
2015-07-01,0.16957
2015-08-01,0.19508
2015-09-01,-0.03613
2015-10-01,0.17057
2015-11-01,0.50180
2015-12-01,0.72952
2016-01-01,1.37309
2016-02-01,1.01780
2016-03-01,0.85254
2016-04-01,1.12511
2016-05-01,1.01932
2016-06-01,0.99733
2016-07-01,0.82714
2016-08-01,1.06287
2016-09-01,1.46378
2016-10-01,1.63599
2016-11-01,1.69254
2016-12-01,2.07462
2017-01-01,2.50004
2017-02-01,2.73796
2017-03-01,2.38061
2017-04-01,2.19969
2017-05-01,1.87488
2017-06-01,1.63349
2017-07-01,1.72798
